,down,go,left,no,right,stop,up,yes
0,0.7333333333333333,0.33807829181494664,0.6030534351145038,0.6775244299674267,0.9084745762711864,0.8154981549815498,0.7774294670846394,0.9369369369369369
1,0.7566666666666667,0.594306049822064,0.7557251908396947,0.7263843648208469,0.9288135593220339,0.8523985239852399,0.8683385579937304,0.918918918918919
2,0.8033333333333333,0.6548042704626335,0.8244274809160306,0.7850162866449512,0.9050847457627119,0.8597785977859779,0.8840125391849529,0.9219219219219219
3,0.7866666666666666,0.7615658362989324,0.8664122137404581,0.7817589576547231,0.8949152542372881,0.8929889298892989,0.8683385579937304,0.93993993993994
4,0.8166666666666667,0.7153024911032029,0.8625954198473282,0.8208469055374593,0.8779661016949153,0.8597785977859779,0.8746081504702194,0.9459459459459459
5,0.8033333333333333,0.7722419928825622,0.8854961832061069,0.7915309446254072,0.8949152542372881,0.8487084870848709,0.9216300940438872,0.9429429429429429
6,0.87,0.7508896797153025,0.8969465648854962,0.8045602605863192,0.8983050847457628,0.9077490774907749,0.8652037617554859,0.9669669669669669
7,0.8133333333333334,0.697508896797153,0.8931297709923665,0.8143322475570033,0.9355932203389831,0.8819188191881919,0.877742946708464,0.9459459459459459
8,0.86,0.7295373665480427,0.8854961832061069,0.8436482084690554,0.9186440677966101,0.9077490774907749,0.8808777429467085,0.9579579579579579
9,0.83,0.7900355871886121,0.9236641221374046,0.8078175895765473,0.8508474576271187,0.9114391143911439,0.8652037617554859,0.9459459459459459
10,0.8733333333333333,0.7117437722419929,0.9198473282442748,0.8827361563517915,0.8983050847457628,0.8966789667896679,0.8934169278996865,0.960960960960961
11,0.8566666666666667,0.7580071174377224,0.851145038167939,0.8469055374592834,0.8813559322033898,0.9114391143911439,0.8526645768025078,0.9579579579579579
12,0.86,0.7580071174377224,0.8969465648854962,0.8664495114006515,0.8949152542372881,0.9114391143911439,0.9153605015673981,0.9579579579579579
13,0.8933333333333333,0.7224199288256228,0.8740458015267175,0.8794788273615635,0.9254237288135593,0.9114391143911439,0.8714733542319749,0.9519519519519519
14,0.85,0.7686832740213523,0.9122137404580153,0.8794788273615635,0.8711864406779661,0.8929889298892989,0.8934169278996865,0.9579579579579579
15,0.89,0.7153024911032029,0.916030534351145,0.8045602605863192,0.9084745762711864,0.8856088560885609,0.8589341692789969,0.9579579579579579
16,0.87,0.7473309608540926,0.8969465648854962,0.8762214983713354,0.9152542372881356,0.915129151291513,0.9153605015673981,0.9519519519519519
17,0.8433333333333334,0.7864768683274022,0.8854961832061069,0.8859934853420195,0.8983050847457628,0.9114391143911439,0.9090909090909091,0.960960960960961
18,0.8533333333333334,0.7224199288256228,0.8931297709923665,0.9022801302931596,0.9152542372881356,0.8966789667896679,0.9028213166144201,0.954954954954955
19,0.88,0.8256227758007118,0.8244274809160306,0.8403908794788274,0.888135593220339,0.9040590405904059,0.8871473354231975,0.96996996996997
20,0.83,0.7758007117437722,0.8816793893129771,0.8794788273615635,0.9220338983050848,0.8708487084870848,0.9184952978056427,0.948948948948949
21,0.9166666666666666,0.7259786476868327,0.916030534351145,0.8501628664495114,0.8576271186440678,0.9261992619926199,0.8871473354231975,0.9669669669669669
22,0.87,0.8078291814946619,0.8931297709923665,0.8631921824104235,0.9186440677966101,0.922509225092251,0.896551724137931,0.954954954954955
23,0.8766666666666667,0.8256227758007118,0.9122137404580153,0.8403908794788274,0.9152542372881356,0.9077490774907749,0.896551724137931,0.9429429429429429
24,0.91,0.7437722419928826,0.9427480916030534,0.8469055374592834,0.8847457627118644,0.933579335793358,0.8557993730407524,0.963963963963964
25,0.9,0.7829181494661922,0.8931297709923665,0.8599348534201955,0.9322033898305084,0.922509225092251,0.890282131661442,0.960960960960961
26,0.8833333333333333,0.7224199288256228,0.9312977099236641,0.8697068403908795,0.9050847457627119,0.915129151291513,0.8871473354231975,0.954954954954955
27,0.88,0.7758007117437722,0.9274809160305344,0.8501628664495114,0.8983050847457628,0.9003690036900369,0.9059561128526645,0.972972972972973
28,0.8733333333333333,0.7686832740213523,0.8778625954198473,0.8925081433224755,0.9254237288135593,0.9003690036900369,0.890282131661442,0.9369369369369369
29,0.8933333333333333,0.8291814946619217,0.8893129770992366,0.8566775244299675,0.9254237288135593,0.9114391143911439,0.890282131661442,0.9579579579579579
30,0.93,0.7544483985765125,0.8893129770992366,0.8599348534201955,0.9084745762711864,0.9003690036900369,0.8871473354231975,0.9459459459459459
31,0.8733333333333333,0.8576512455516014,0.916030534351145,0.7947882736156352,0.8847457627118644,0.9261992619926199,0.9028213166144201,0.972972972972973
32,0.8933333333333333,0.7686832740213523,0.916030534351145,0.8697068403908795,0.8779661016949153,0.9188191881918819,0.9153605015673981,0.9429429429429429
33,0.9166666666666666,0.8327402135231317,0.9083969465648855,0.8403908794788274,0.9084745762711864,0.915129151291513,0.9122257053291536,0.96996996996997
34,0.8733333333333333,0.7758007117437722,0.851145038167939,0.8631921824104235,0.9423728813559322,0.915129151291513,0.877742946708464,0.9579579579579579
35,0.9033333333333333,0.8113879003558719,0.8549618320610687,0.8859934853420195,0.911864406779661,0.922509225092251,0.9059561128526645,0.972972972972973
