,down,go,left,no,right,stop,up,yes
0,0.740506329113924,0.4444444444444444,0.7198067632850241,0.45652173913043476,0.7760252365930599,0.7673469387755102,0.7343283582089553,0.7798408488063661
1,0.7218543046357616,0.7142857142857143,0.8860103626943006,0.5643340857787811,0.9261992619926199,0.7448979591836735,0.8315789473684211,0.7777777777777778
2,0.8484848484848485,0.658307210031348,0.8717948717948718,0.7035830618892508,0.9481481481481482,0.75,0.8409090909090909,0.8258575197889182
3,0.8301158301158301,0.7312925170068028,0.8901960784313725,0.7,0.9273356401384083,0.8987854251012146,0.8528528528528528,0.9237536656891495
4,0.868,0.7266187050359713,0.9017094017094017,0.6579634464751958,0.9290780141843972,0.8576642335766423,0.8881578947368421,0.8677685950413223
5,0.8571428571428571,0.7904411764705882,0.8834586466165414,0.7697160883280757,0.9403508771929825,0.8897338403041825,0.8488372093023255,0.9401197604790419
6,0.8961038961038961,0.76,0.9152542372881356,0.6941489361702128,0.9246575342465754,0.8515901060070671,0.8668730650154799,0.9034090909090909
7,0.9282700421940928,0.7476340694006309,0.8801498127340824,0.7530864197530864,0.9413793103448276,0.90234375,0.8538011695906432,0.9432835820895522
8,0.9372384937238494,0.7872340425531915,0.8807692307692307,0.7550432276657061,0.9710144927536232,0.8581560283687943,0.8854489164086687,0.8857938718662952
9,0.8951612903225806,0.7967479674796748,0.8682170542635659,0.7321937321937322,0.9190140845070423,0.868,0.7819148936170213,0.8929577464788733
10,0.8853046594982079,0.8120567375886525,0.8631178707224335,0.8355263157894737,0.9640287769784173,0.8681318681318682,0.8600583090379009,0.9161849710982659
11,0.9056603773584906,0.7859649122807018,0.8679245283018868,0.7542372881355932,0.9737827715355806,0.898876404494382,0.897196261682243,0.9215116279069767
12,0.9233870967741935,0.8129496402877698,0.8601398601398601,0.7696793002915452,0.9486301369863014,0.915057915057915,0.8633720930232558,0.9685534591194969
13,0.8924731182795699,0.8072727272727273,0.8851851851851852,0.7859237536656891,0.9646643109540636,0.9254901960784314,0.9090909090909091,0.9190751445086706
14,0.8804347826086957,0.8672985781990521,0.8380281690140845,0.6823821339950372,0.9498207885304659,0.8860294117647058,0.928082191780822,0.9088319088319088
15,0.9322033898305084,0.8133802816901409,0.8832116788321168,0.7758620689655172,0.9615384615384616,0.8905109489051095,0.9085173501577287,0.9083094555873925
16,0.9367088607594937,0.8111888111888111,0.8705035971223022,0.7886904761904762,0.9543859649122807,0.9049429657794676,0.8685714285714285,0.948948948948949
17,0.9256198347107438,0.8050541516245487,0.8791208791208791,0.7479452054794521,0.9681978798586572,0.8768656716417911,0.8734939759036144,0.9542682926829268
18,0.9358974358974359,0.8405797101449275,0.8527397260273972,0.7880597014925373,0.9618055555555556,0.918918918918919,0.8595988538681948,0.9432835820895522
19,0.9135338345864662,0.8455598455598455,0.8666666666666667,0.7726027397260274,0.9649122807017544,0.9428571428571428,0.8802395209580839,0.9604863221884499
20,0.9117647058823529,0.8303249097472925,0.8825622775800712,0.8132530120481928,0.9681978798586572,0.9395161290322581,0.8735294117647059,0.9432835820895522
21,0.932806324110672,0.8565891472868217,0.851063829787234,0.8006042296072508,0.9612676056338029,0.8773234200743495,0.8844984802431611,0.8839779005524862
22,0.9197080291970803,0.8327526132404182,0.8556338028169014,0.8476190476190476,0.9678571428571429,0.9322709163346613,0.884272997032641,0.9294117647058824
23,0.9,0.8533834586466166,0.8477508650519031,0.83125,0.9331103678929766,0.9375,0.9225806451612903,0.9195402298850575
24,0.9449152542372882,0.8125,0.8515901060070671,0.7809798270893372,0.9716312056737588,0.9182879377431906,0.8846153846153846,0.9436201780415431
25,0.9272030651340997,0.8421052631578947,0.8541666666666666,0.8317757009345794,0.9333333333333333,0.9377431906614786,0.9274447949526814,0.9410029498525073
26,0.9296296296296296,0.8550185873605948,0.8615916955017301,0.7931034482758621,0.9431438127090301,0.9556451612903226,0.9182389937106918,0.9694189602446484
27,0.9367588932806324,0.8277153558052435,0.8941605839416058,0.7506849315068493,0.9619377162629758,0.9377431906614786,0.8990825688073395,0.9523809523809523
28,0.9583333333333334,0.8345070422535211,0.8888888888888888,0.8201892744479495,0.9545454545454546,0.93359375,0.8649425287356322,0.8828337874659401
29,0.9057971014492754,0.8488372093023255,0.8992537313432836,0.7914285714285715,0.9714285714285714,0.9239543726235742,0.9076923076923077,0.9224137931034483
30,0.9045936395759717,0.8879668049792531,0.8541666666666666,0.7643835616438356,0.968421052631579,0.9488188976377953,0.9074074074074074,0.9634146341463414
31,0.9473684210526315,0.8483754512635379,0.852233676975945,0.8108108108108109,0.9551724137931035,0.952,0.9051987767584098,0.9550898203592815
32,0.9266409266409267,0.8773946360153256,0.8741007194244604,0.7965616045845272,0.9550173010380623,0.8932384341637011,0.9415584415584416,0.9358600583090378
33,0.9185185185185185,0.8731343283582089,0.8133333333333334,0.8513513513513513,0.9522184300341296,0.8861209964412812,0.9104938271604939,0.9375
34,0.9356060606060606,0.8480565371024735,0.8541666666666666,0.8767123287671232,0.9615384615384616,0.9144981412639405,0.9033232628398792,0.9098591549295775
35,0.9064748201438849,0.804635761589404,0.8966789667896679,0.8375796178343949,0.9586206896551724,0.9411764705882353,0.9258064516129032,0.9195402298850575
