,fpr,tpr
0,0.0,0.48621595523901173
1,0.00046446818392940084,0.4875600412605171
2,0.0004664179104477612,0.501448930149406
3,0.00046707146193367583,0.5023080366786156
4,0.0004675081813931744,0.5159599138117213
5,0.0004710315591144607,0.52202787497677
6,0.0004714757190004715,0.5228317334976703
7,0.0004725897920604915,0.5271829993204551
8,0.0004791566842357451,0.5322554630885711
9,0.0009289363678588017,0.5452482946297897
10,0.0009328358208955224,0.5508906557409008
11,0.0009341429238673517,0.5556157416515537
12,0.0009350163627863488,0.5590287109348301
13,0.0009420631182289214,0.5642876106112056
14,0.000942951438000943,0.5827763565919131
15,0.000945179584120983,0.5934567363387485
16,0.0009583133684714902,0.5988915189474441
17,0.0013934045517882026,0.6230850673345409
18,0.0014012143858010276,0.6381194315957093
19,0.001402524544179523,0.6406791585581666
20,0.001413094677343382,0.6613102265193317
21,0.0014177693761814746,0.6640792138611038
22,0.0014374700527072352,0.6691516776292197
23,0.0018578727357176034,0.6709437923245603
24,0.0018656716417910447,0.6748500423245603
25,0.0018682858477347033,0.6778569151767939
26,0.0018841262364578427,0.6875656530408716
27,0.001885902876001886,0.6919868749058233
28,0.001890359168241966,0.6923824445260764
29,0.0019166267369429804,0.696730270613033
30,0.0023223409196470044,0.6985223853083735
31,0.0023320895522388058,0.6989564130861513
32,0.002335357309668379,0.6993859663507561
33,0.0023375409069658717,0.7015190721528038
34,0.0023551577955723034,0.7023281336414771
35,0.0023573785950023575,0.7063474262459787
36,0.0023629489603024575,0.7126765401700293
37,0.0023957834211787254,0.7144881343729279
38,0.002786809103576405,0.718520392437444
39,0.002798507462686567,0.7189544202152218
40,0.0028024287716020553,0.7193839734798266
41,0.002805049088359046,0.7198105946402362
42,0.002826189354686764,0.7210241868732459
43,0.002828854314002829,0.7246415502172973
44,0.002835538752362949,0.7274105375590695
45,0.0028749401054144704,0.729222131761968
46,0.003251277287505806,0.7296701604358031
47,0.0032649253731343282,0.7309722437691364
48,0.003269500233535731,0.731831350298346
49,0.0032725572697522207,0.7322579714587555
50,0.003297220913801225,0.7330670329474287
51,0.0033081285444234404,0.733858172187935
52,0.0033540967896502154,0.7342204910285147
53,0.0037157454714352067,0.7355645770500201
54,0.0037313432835820895,0.7359986048277979
55,0.0037365716954694066,0.7372872646216123
56,0.0037400654511453952,0.738567128102841
57,0.0037682524729156855,0.7397807203358506
58,0.003771805752003772,0.740584578856751
59,0.003780718336483932,0.7421668573377637
60,0.003833253473885961,0.7425291761783434
61,0.0041802136553646075,0.7456653768951892
62,0.004197761194029851,0.746099404672967
63,0.004207573632538569,0.7482325104750148
64,0.004239284032030146,0.7486370412193514
65,0.004243281471004243,0.7498428290007019
66,0.004253308128544423,0.7510295378614613
67,0.004312410158121706,0.753928088586099
68,0.004670714619336758,0.7543576418507039
69,0.004675081813931743,0.7560641264923421
70,0.004714757190004715,0.7564660557527922
71,0.004725897920604915,0.7576527646135517
72,0.004791566842357451,0.7587397211352909
73,0.005109150023223409,0.7632200078736421
74,0.005130597014925373,0.7640880634291977
75,0.0051813471502590676,0.7669197786395536
76,0.005186232909005186,0.7673217079000039
77,0.005270723526593196,0.7702202586246415
78,0.00557361820715281,0.7711163159723118
79,0.005597014925373134,0.7715503437500896
80,0.005604857543204111,0.7719798970146944
81,0.005610098176718092,0.7724065181751039
82,0.005749880210828941,0.7789282573055387
83,0.006038086391082211,0.7798243146532089
84,0.006063432835820896,0.7811263979865422
85,0.006071929005137786,0.7815559512511472
86,0.006077606358111267,0.7824091935719661
87,0.006123410268487989,0.783622785804976
88,0.006129184347006129,0.7844266443258763
89,0.006143667296786389,0.7848222139461294
90,0.006229036895064686,0.7880830835113468
91,0.006502554575011612,0.7912192842281927
92,0.0065451145395044414,0.7916459053886022
93,0.00659444182760245,0.7936685591102852
94,0.006708193579300431,0.797654066356662
95,0.0070126227208976155,0.7980806875170716
96,0.007072135785007072,0.7988845460379719
97,0.007088846880907372,0.8004668245189845
98,0.007187350263536177,0.8062639259682598
99,0.0074314909428704135,0.8089520980112705
100,0.007473143390938813,0.8093816512758754
101,0.0074801309022907905,0.8102348935966945
102,0.007536504945831371,0.8106394243410311
103,0.007543611504007544,0.8118452121223816
104,0.007561436672967864,0.8122407817426347
105,0.007940214852872489,0.8126703350072395
106,0.00800753650494583,0.8130748657515761
107,0.008034026465028356,0.8134704353718292
108,0.008145663632007666,0.8141950730529888
109,0.008407286314806165,0.8150541795821984
110,0.008486562942008486,0.8178676844053494
111,0.008624820316243412,0.8182300032459291
112,0.008824895494658615,0.8200221179412697
113,0.008874357776739842,0.8204516712058745
114,0.008949599623174752,0.820856201950211
115,0.009289363678588018,0.8213042306240461
116,0.009350163627863487,0.8221574729448653
117,0.009420631182289214,0.8225620036892018
118,0.00942951438000943,0.8245716499914526
119,0.009583133684714902,0.825296287672612
120,0.009753831862517418,0.8257443163464471
121,0.00992438563327032,0.8261398859667002
122,0.010062290368950648,0.8283137990101785
123,0.010362694300518135,0.8291228604988516
124,0.010372465818010372,0.8295247897593019
125,0.010541447053186392,0.8342349346868381
126,0.010833725859632595,0.8346394654311746
127,0.010869565217391304,0.8354306046716811
128,0.011020603737422138,0.8365175611934201
129,0.01114723641430562,0.8369655898672552
130,0.011209715086408221,0.83739514313186
131,0.011304757418747056,0.8382042046205331
132,0.011342155009451797,0.8389953438610396
133,0.011499760421657882,0.8393576627016193
134,0.01168770453482936,0.8397842838620289
135,0.011978917105893628,0.8426828345866664
136,0.012287334593572778,0.8430784042069197
137,0.012458073790129372,0.8438030418880791
