,fpr,tpr
0,0.0,0.5127305110566207
1,0.0004748338081671415,0.5222724957894451
2,0.0004768717215069146,0.525501278077268
3,0.0004791566842357451,0.5281703172231754
4,0.000482392667631452,0.5430008256977518
5,0.00048355899419729207,0.5650841590310851
6,0.00048520135856380397,0.5654913251548636
7,0.0004880429477794046,0.5839082530545501
8,0.0004914004914004914,0.5861605053068023
9,0.000949667616334283,0.5923627953831382
10,0.0009537434430138292,0.5928240499956844
11,0.0009583133684714902,0.5959379289992431
12,0.000964785335262904,0.5972091154399211
13,0.0009671179883945841,0.6017924487732544
14,0.0009760858955588092,0.6108049879582074
15,0.0009828009828009828,0.6130572402104596
16,0.001430615164520744,0.6135184948230058
17,0.0014374700527072352,0.6259740108372406
18,0.0014506769825918763,0.6276406775039073
19,0.001455604075691412,0.6288621758752428
20,0.0014641288433382138,0.6292540254050234
21,0.001899335232668566,0.6373647124279241
22,0.0019074868860276585,0.6378259670404702
23,0.0019166267369429804,0.646277924335844
24,0.0019342359767891683,0.6550279243358439
25,0.0019408054342552159,0.6619497484400784
26,0.0019521717911176184,0.6650845446783229
27,0.0019656019656019656,0.6662106708044491
28,0.0023741690408357074,0.6676419685143727
29,0.002384358607534573,0.6713320054147418
30,0.0023957834211787254,0.6726665249876955
31,0.0024260067928190197,0.6836600103297151
32,0.002440214738897023,0.6907133018657653
33,0.002457002457002457,0.6925901787426422
34,0.002849002849002849,0.6954527741624894
35,0.0028749401054144704,0.6967872937354431
36,0.002894356005788712,0.7006008530574771
37,0.0029013539651837525,0.7014341863908103
38,0.002911208151382824,0.707541678247488
39,0.0029282576866764276,0.7083253773070491
40,0.0029484029484029483,0.7094515034331752
41,0.0033238366571699905,0.7104057019064576
42,0.0033381020505484026,0.7136344841942804
43,0.0033540967896502154,0.716303523340188
44,0.0033849129593810446,0.717553523340188
45,0.003396409509946628,0.7187750217115234
46,0.003416300634455832,0.7195587207710845
47,0.0034398034398034397,0.7203094715218353
48,0.003814973772055317,0.7212319807469276
49,0.003833253473885961,0.7225665003198813
50,0.003859141341051616,0.7238376867605594
51,0.0038816108685104317,0.7246520190081163
52,0.003904343582235237,0.7262194171272386
53,0.003931203931203931,0.7314746723824939
54,0.004273504273504274,0.7357685655122648
55,0.004291845493562232,0.7371523293499032
56,0.004312410158121706,0.7402662083534619
57,0.004352030947775629,0.7435995416867953
58,0.004366812227074236,0.7456353723056879
59,0.004422604422604423,0.7467614984318139
60,0.004768717215069146,0.74722275304436
61,0.004791566842357451,0.7485572726173138
62,0.00482392667631452,0.7498284590579918
63,0.004835589941972921,0.751911792391325
64,0.0048520135856380394,0.7527261246388821
65,0.004880429477794046,0.7570364694664683
66,0.004914004914004914,0.7589133463433452
67,0.005245588936576061,0.7598358555684374
68,0.005319148936170213,0.7619191889017707
69,0.005337214944201844,0.7623263550255491
70,0.005405405405405406,0.7630771057763
71,0.005698005698005698,0.7635542050129411
72,0.005749880210828941,0.7644438847282435
73,0.005802707930367505,0.767777218061577
74,0.005856515373352855,0.768560917121138
75,0.005896805896805897,0.7700624186226396
76,0.006172839506172839,0.7719708155692044
77,0.00619933237958989,0.7724320701817506
78,0.006229036895064686,0.7759907890429605
79,0.006307617661329452,0.776397955166739
80,0.00634455832113226,0.7775735037560807
81,0.0063882063882063885,0.7783242545068315
82,0.006708193579300431,0.7823278132256927
83,0.006769825918762089,0.786911146559026
84,0.006792819019893256,0.7885398110541401
85,0.0068796068796068794,0.7892905618048908
86,0.007122507122507123,0.789767661041532
87,0.00715307582260372,0.7902289156540782
88,0.007187350263536177,0.7915634352270319
89,0.00723589001447178,0.7919871640405911
90,0.007253384912959381,0.7924038307072578
91,0.00727802037845706,0.7928109968310363
92,0.007320644216691069,0.7935946958905975
93,0.007597340930674264,0.7950259936005212
94,0.007666506947771922,0.7968053530311262
95,0.007736943907156673,0.7997220196977929
96,0.0077632217370208634,0.8005363519453499
97,0.007808687164470474,0.8021037500644721
98,0.008072174738841406,0.8025808493011133
99,0.008106819265617548,0.8044258677512979
100,0.008145663632007666,0.8079845866125077
101,0.008200675349734683,0.8084083154260671
102,0.008220502901353965,0.8129916487594004
103,0.008248423095584668,0.813398814883179
104,0.008353808353808353,0.8141495656339298
105,0.008624820316243412,0.814594405491581
106,0.008683068017366137,0.8150181343051403
107,0.008704061895551257,0.8158514676384737
108,0.008733624454148471,0.8162586337622522
109,0.008845208845208846,0.8166340091376275
110,0.009021842355175688,0.8171111083742687
111,0.009103977000479156,0.8175559482319199
112,0.00918762088974855,0.8188059482319199
113,0.009218825812712276,0.8192131143556984
114,0.009336609336609337,0.8195884897310738
115,0.00949667616334283,0.8205426882043562
116,0.009583133684714902,0.8209875280620075
117,0.00964785335262904,0.8218349856891262
118,0.009671179883945842,0.8235016523557928
119,0.009760858955588092,0.8238935018855733
120,0.009971509971509971,0.8248477003588558
121,0.010062290368950648,0.8252925402165071
122,0.010154738878143133,0.8257092068831737
123,0.010189228529839884,0.8285593697496232
124,0.010248901903367497,0.8301267678687454
125,0.010491177873152123,0.8310492770938378
126,0.010612638687891944,0.8314730059073971
127,0.010638297872340425,0.8348063392407306
128,0.011020603737422138,0.8352511790983816
129,0.011095031355523395,0.8360986367255003
130,0.011121856866537718,0.8365153033921671
131,0.011159631246967491,0.8401797985061736
132,0.011224987798926306,0.8405716480359542
133,0.011396011396011397,0.8410487472725954
134,0.01160541586073501,0.841465413939262
135,0.011644832605531296,0.8426869123105976
136,0.01171303074670571,0.8438624608999392
137,0.011870845204178538,0.8443395601365804
