,down,go,left,no,right,stop,up,yes
0,0.5766666666666667,0.11743772241992882,0.13740458015267176,0.6482084690553745,0.8135593220338984,0.7675276752767528,0.31974921630094044,0.8588588588588588
1,0.67,0.17793594306049823,0.4961832061068702,0.752442996742671,0.8101694915254237,0.8154981549815498,0.3793103448275862,0.8558558558558559
2,0.71,0.2491103202846975,0.5992366412213741,0.739413680781759,0.8169491525423729,0.8154981549815498,0.5297805642633229,0.8918918918918919
3,0.75,0.37722419928825623,0.6221374045801527,0.6579804560260586,0.8508474576271187,0.6605166051660517,0.799373040752351,0.9129129129129129
4,0.7166666666666667,0.4697508896797153,0.683206106870229,0.6807817589576547,0.8847457627118644,0.7416974169741697,0.7366771159874608,0.8918918918918919
5,0.7233333333333334,0.4234875444839858,0.7099236641221374,0.7263843648208469,0.8779661016949153,0.6715867158671587,0.7931034482758621,0.8858858858858859
6,0.7833333333333333,0.45907473309608543,0.7633587786259542,0.6188925081433225,0.864406779661017,0.7380073800738007,0.8025078369905956,0.8858858858858859
7,0.6966666666666667,0.3914590747330961,0.732824427480916,0.7361563517915309,0.8305084745762712,0.7269372693726938,0.8087774294670846,0.8918918918918919
8,0.7766666666666666,0.42704626334519574,0.7786259541984732,0.7231270358306189,0.8372881355932204,0.6715867158671587,0.8056426332288401,0.8468468468468469
9,0.7466666666666667,0.5658362989323843,0.7442748091603053,0.6547231270358306,0.8440677966101695,0.7343173431734318,0.8244514106583072,0.8708708708708709
10,0.76,0.5373665480427047,0.7290076335877863,0.7068403908794788,0.8440677966101695,0.7380073800738007,0.7774294670846394,0.9069069069069069
11,0.7733333333333333,0.5195729537366548,0.732824427480916,0.6970684039087948,0.8915254237288136,0.6383763837638377,0.8181818181818182,0.8768768768768769
12,0.7,0.49110320284697506,0.7748091603053435,0.7263843648208469,0.847457627118644,0.7121771217712177,0.8150470219435737,0.9039039039039038
13,0.8066666666666666,0.48398576512455516,0.7404580152671756,0.6938110749185668,0.8847457627118644,0.6900369003690037,0.8244514106583072,0.8738738738738738
14,0.7566666666666667,0.5480427046263345,0.7862595419847328,0.6644951140065146,0.8677966101694915,0.6752767527675276,0.8244514106583072,0.8528528528528528
15,0.7533333333333333,0.5516014234875445,0.7900763358778626,0.6807817589576547,0.8813559322033898,0.6605166051660517,0.8620689655172413,0.8648648648648649
