,down,go,left,no,right,stop,up,yes
0,0.625,0.6020066889632107,0.7939914163090128,0.62890625,0.8571428571428571,0.7598425196850394,0.8211920529801324,0.836676217765043
1,0.7072368421052632,0.740909090909091,0.8791666666666667,0.5616113744075829,0.8928571428571429,0.779783393501805,0.9294117647058824,0.8771929824561403
2,0.7816901408450704,0.7192307692307692,0.7623762376237624,0.6573208722741433,0.9799196787148594,0.8777292576419214,0.7783641160949868,0.8892128279883382
3,0.7857142857142857,0.7376425855513308,0.8027210884353742,0.6967741935483871,0.9375,0.9110169491525424,0.8930817610062893,0.8746438746438746
4,0.7515151515151515,0.6736842105263158,0.8303249097472925,0.6857142857142857,0.9530685920577617,0.8884297520661157,0.9560439560439561,0.9101796407185628
5,0.7398843930635838,0.7745901639344263,0.8838951310861424,0.7241379310344828,0.9637681159420289,0.9382716049382716,0.9250814332247557,0.9109792284866469
6,0.689119170984456,0.7824427480916031,0.8080808080808081,0.8584905660377359,0.9602888086642599,0.8556701030927835,0.9096573208722741,0.9254658385093167
7,0.7919463087248322,0.7678571428571429,0.8875968992248062,0.78,0.9351535836177475,0.8819188191881919,0.8790560471976401,0.9361702127659575
8,0.8498293515358362,0.7849056603773585,0.8304498269896193,0.7605177993527508,0.9117647058823529,0.8708487084870848,0.9417808219178082,0.9067055393586005
9,0.8735632183908046,0.7908745247148289,0.8496503496503497,0.6957671957671958,0.9283276450511946,0.8703703703703703,0.936026936026936,0.95
10,0.7993827160493827,0.8,0.8740740740740741,0.7986577181208053,0.9269102990033222,0.8962962962962963,0.9161490683229814,0.9535603715170279
11,0.8350877192982457,0.7441077441077442,0.8634686346863468,0.7584097859327217,0.9064516129032258,0.9330543933054394,0.9215686274509803,0.9369369369369369
12,0.8512110726643599,0.8666666666666667,0.88,0.6921119592875318,0.9548611111111112,0.91796875,0.9088050314465409,0.9233038348082596
13,0.8518518518518519,0.7296416938110749,0.8745387453874539,0.8065573770491803,0.9679715302491103,0.907258064516129,0.9012345679012346,0.9313432835820895
14,0.8291139240506329,0.8361344537815126,0.8273381294964028,0.7863777089783281,0.8885350318471338,0.9049429657794676,0.9421768707482994,0.9210526315789473
15,0.8505338078291815,0.8815165876777251,0.8545454545454545,0.75,0.8836477987421384,0.8947368421052632,0.89937106918239,0.9048991354466859
16,0.8146964856230032,0.8360655737704918,0.8356164383561644,0.8311258278145696,0.9358108108108109,0.9049429657794676,0.9104938271604939,0.9431137724550899
17,0.8412162162162162,0.8286852589641435,0.8269896193771626,0.7866242038216561,0.958041958041958,0.8973384030418251,0.8990825688073395,0.9181286549707602
18,0.8113207547169812,0.8646288209606987,0.82,0.7804154302670623,0.9233333333333333,0.9214876033057852,0.8858024691358025,0.9654088050314465
19,0.8428571428571429,0.8640350877192983,0.7639751552795031,0.770392749244713,0.9183006535947712,0.8819188191881919,0.9096774193548387,0.95
20,0.8864468864468864,0.88,0.8321917808219178,0.771513353115727,0.9517241379310345,0.8867924528301887,0.8422535211267606,0.9486404833836858
