,down,go,left,no,right,stop,up,yes
0,0.75,0.6405693950177936,0.7061068702290076,0.5244299674267101,0.9152542372881356,0.7121771217712177,0.7774294670846394,0.8768768768768769
1,0.7166666666666667,0.5800711743772242,0.8053435114503816,0.7719869706840391,0.9322033898305084,0.7970479704797048,0.7429467084639498,0.9009009009009009
2,0.74,0.6654804270462633,0.8816793893129771,0.6872964169381107,0.8271186440677966,0.7416974169741697,0.9247648902821317,0.9159159159159159
3,0.8066666666666666,0.6903914590747331,0.9007633587786259,0.7035830618892508,0.9152542372881356,0.7933579335793358,0.890282131661442,0.9219219219219219
4,0.8266666666666667,0.6832740213523132,0.8778625954198473,0.7817589576547231,0.8949152542372881,0.7933579335793358,0.8181818181818182,0.9129129129129129
5,0.8533333333333334,0.6725978647686833,0.9007633587786259,0.8208469055374593,0.9016949152542373,0.8413284132841329,0.890282131661442,0.9219219219219219
6,0.8866666666666667,0.7295373665480427,0.916030534351145,0.5928338762214984,0.9016949152542373,0.9188191881918819,0.9153605015673981,0.8948948948948949
7,0.7866666666666666,0.7651245551601423,0.8740458015267175,0.762214983713355,0.9288135593220339,0.8819188191881919,0.9341692789968652,0.924924924924925
8,0.83,0.7402135231316725,0.916030534351145,0.7654723127035831,0.9457627118644067,0.8708487084870848,0.8620689655172413,0.933933933933934
9,0.76,0.7402135231316725,0.9274809160305344,0.8566775244299675,0.9220338983050848,0.8671586715867159,0.8714733542319749,0.9129129129129129
10,0.8633333333333333,0.7402135231316725,0.9007633587786259,0.7752442996742671,0.9457627118644067,0.8929889298892989,0.9247648902821317,0.924924924924925
11,0.7933333333333333,0.7864768683274022,0.8931297709923665,0.8078175895765473,0.9525423728813559,0.8228782287822878,0.8840125391849529,0.9369369369369369
12,0.82,0.6476868327402135,0.9236641221374046,0.8859934853420195,0.9322033898305084,0.8671586715867159,0.9059561128526645,0.93993993993994
13,0.8433333333333334,0.797153024911032,0.9045801526717557,0.8013029315960912,0.9220338983050848,0.8302583025830258,0.9153605015673981,0.9369369369369369
14,0.8733333333333333,0.708185053380783,0.8778625954198473,0.8273615635179153,0.9457627118644067,0.8782287822878229,0.8683385579937304,0.9459459459459459
15,0.7966666666666666,0.6619217081850534,0.8969465648854962,0.8599348534201955,0.9525423728813559,0.8782287822878229,0.896551724137931,0.9429429429429429
16,0.85,0.7259786476868327,0.9312977099236641,0.8175895765472313,0.9389830508474576,0.8782287822878229,0.9247648902821317,0.9459459459459459
17,0.83,0.7402135231316725,0.9122137404580153,0.8045602605863192,0.9288135593220339,0.8708487084870848,0.9216300940438872,0.9429429429429429
18,0.86,0.7046263345195729,0.9389312977099237,0.8566775244299675,0.9389830508474576,0.8228782287822878,0.8996865203761756,0.9219219219219219
19,0.7866666666666666,0.701067615658363,0.9389312977099237,0.8306188925081434,0.9525423728813559,0.8819188191881919,0.8840125391849529,0.9129129129129129
20,0.8066666666666666,0.7046263345195729,0.9274809160305344,0.8469055374592834,0.9355932203389831,0.8671586715867159,0.9373040752351097,0.9429429429429429
