,down,go,left,no,right,stop,up,yes
0,0.7933333333333333,0.7046263345195729,0.7519083969465649,0.5993485342019544,0.9152542372881356,0.8191881918819188,0.9404388714733543,0.9369369369369369
1,0.8433333333333334,0.7793594306049823,0.8816793893129771,0.758957654723127,0.911864406779661,0.8597785977859779,0.9780564263322884,0.9279279279279279
2,0.8566666666666667,0.7686832740213523,0.9236641221374046,0.7980456026058632,0.9220338983050848,0.9003690036900369,0.9749216300940439,0.9519519519519519
3,0.8533333333333334,0.8149466192170819,0.8854961832061069,0.8599348534201955,0.9457627118644067,0.9077490774907749,0.9686520376175548,0.960960960960961
4,0.87,0.8790035587188612,0.9007633587786259,0.8273615635179153,0.9389830508474576,0.922509225092251,0.9717868338557993,0.9669669669669669
5,0.9,0.800711743772242,0.9122137404580153,0.8892508143322475,0.9457627118644067,0.9298892988929889,0.9561128526645768,0.96996996996997
6,0.8966666666666666,0.8220640569395018,0.9198473282442748,0.8436482084690554,0.9457627118644067,0.9372693726937269,0.9655172413793104,0.972972972972973
7,0.92,0.8683274021352313,0.9465648854961832,0.8566775244299675,0.9457627118644067,0.933579335793358,0.9278996865203761,0.9669669669669669
8,0.92,0.7722419928825622,0.9580152671755725,0.8762214983713354,0.9322033898305084,0.955719557195572,0.9686520376175548,0.96996996996997
9,0.9333333333333333,0.8683274021352313,0.9351145038167938,0.8371335504885994,0.9491525423728814,0.915129151291513,0.9529780564263323,0.96996996996997
10,0.96,0.8469750889679716,0.9236641221374046,0.8827361563517915,0.9389830508474576,0.9188191881918819,0.9435736677115988,0.9579579579579579
11,0.9133333333333333,0.9039145907473309,0.9618320610687023,0.8403908794788274,0.9457627118644067,0.955719557195572,0.9435736677115988,0.96996996996997
12,0.9433333333333334,0.797153024911032,0.9427480916030534,0.9185667752442996,0.9457627118644067,0.9298892988929889,0.9435736677115988,0.9579579579579579
13,0.9333333333333333,0.9039145907473309,0.9580152671755725,0.8338762214983714,0.9423728813559322,0.9188191881918819,0.9529780564263323,0.960960960960961
14,0.9233333333333333,0.8683274021352313,0.9083969465648855,0.8762214983713354,0.9389830508474576,0.9372693726937269,0.9498432601880877,0.9669669669669669
15,0.8233333333333334,0.8327402135231317,0.9389312977099237,0.8859934853420195,0.9355932203389831,0.940959409594096,0.9717868338557993,0.9669669669669669
16,0.9133333333333333,0.896797153024911,0.9274809160305344,0.7980456026058632,0.9423728813559322,0.9520295202952029,0.9592476489028213,0.975975975975976
17,0.93,0.8540925266903915,0.9541984732824428,0.8599348534201955,0.9661016949152542,0.933579335793358,0.9749216300940439,0.972972972972973
18,0.91,0.8896797153024911,0.9427480916030534,0.7361563517915309,0.9491525423728814,0.922509225092251,0.9843260188087775,0.972972972972973
19,0.9433333333333334,0.8149466192170819,0.9580152671755725,0.8859934853420195,0.9491525423728814,0.9446494464944649,0.9498432601880877,0.972972972972973
20,0.8966666666666666,0.8790035587188612,0.9732824427480916,0.8664495114006515,0.9593220338983051,0.9298892988929889,0.9623824451410659,0.9669669669669669
21,0.83,0.8505338078291815,0.9541984732824428,0.8990228013029316,0.9525423728813559,0.9446494464944649,0.9623824451410659,0.9579579579579579
22,0.9266666666666666,0.8754448398576512,0.9312977099236641,0.8534201954397395,0.9423728813559322,0.940959409594096,0.9655172413793104,0.963963963963964
23,0.9366666666666666,0.8861209964412812,0.9656488549618321,0.7752442996742671,0.9525423728813559,0.933579335793358,0.9592476489028213,0.9669669669669669
24,0.9,0.9074733096085409,0.9580152671755725,0.8599348534201955,0.9525423728813559,0.9446494464944649,0.9686520376175548,0.9669669669669669
25,0.9,0.8754448398576512,0.9427480916030534,0.8631921824104235,0.9423728813559322,0.940959409594096,0.9780564263322884,0.9669669669669669
26,0.92,0.8790035587188612,0.9427480916030534,0.8436482084690554,0.9559322033898305,0.9298892988929889,0.9686520376175548,0.972972972972973
27,0.93,0.8861209964412812,0.9389312977099237,0.8631921824104235,0.9491525423728814,0.933579335793358,0.9592476489028213,0.978978978978979
28,0.93,0.8754448398576512,0.9274809160305344,0.8599348534201955,0.9457627118644067,0.940959409594096,0.9655172413793104,0.972972972972973
29,0.92,0.9074733096085409,0.9580152671755725,0.8371335504885994,0.9457627118644067,0.933579335793358,0.9561128526645768,0.972972972972973
30,0.9133333333333333,0.8896797153024911,0.9694656488549618,0.8631921824104235,0.9389830508474576,0.9261992619926199,0.9655172413793104,0.9669669669669669
31,0.93,0.8825622775800712,0.9618320610687023,0.8762214983713354,0.9423728813559322,0.9520295202952029,0.9749216300940439,0.96996996996997
